"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"21303",NA,5,"11","5","2","3",2,408.958
"21304",NA,5,"11","5","2","4",1,1167.174
"21305",NA,5,"11","5","2","4",2,856.678
"21306",NA,5,"11","5","2","5",1,2051.63
"21307",NA,5,"11","5","2","5",2,705.795
"21308",NA,5,"11","5","2","6",1,900.337
"21309",NA,5,"11","5","2","6",2,28.892
"21310",NA,5,"11","5","2","7",1,236.475
"21311",NA,5,"12","1","1","7",1,72.92
"21312",NA,5,"12","2","2","2",1,813.308
"21313",NA,5,"12","2","2","2",2,653.685
"21314",NA,5,"12","2","2","3",1,2987.928
"21315",NA,5,"12","2","2","3",2,3600.342
"21316",NA,5,"12","2","2","4",1,10517.68
"21317",NA,5,"12","2","2","4",2,7007.64
"21318",NA,5,"12","2","2","5",1,16163.425
"21319",NA,5,"12","2","2","5",2,8610.677
"21320",NA,5,"12","2","2","6",1,9121.637
"21321",NA,5,"12","2","2","6",2,860.178
"21322",NA,5,"12","2","2","7",1,1469.923
"21323",NA,5,"12","3","3","3",1,232.556
"21324",NA,5,"12","3","3","3",2,1171.4
"21325",NA,5,"12","3","3","4",1,3107.278
"21326",NA,5,"12","3","3","4",2,429.765
"21327",NA,5,"12","3","3","5",1,4097.218
"21328",NA,5,"12","3","3","5",2,1474.132
"21329",NA,5,"12","3","3","6",1,1859.896
"21330",NA,5,"12","3","3","6",2,571.147
"21331",NA,5,"12","3","3","7",1,1942.657
"21332",NA,5,"12","4","2","4",2,362.103
"21333",NA,5,"12","5","2","3",1,1492.218
"21334",NA,5,"12","5","2","3",2,336.496
"21335",NA,5,"12","5","2","4",1,1574.736
"21336",NA,5,"12","5","2","4",2,232.41
"21337",NA,5,"12","5","2","5",1,694.051
"21338",NA,5,"12","5","2","5",2,207.438
"21339",NA,5,"12","5","2","6",1,242.329
"21340",NA,5,"12","5","3","4",1,75.357
"21341",NA,5,"12","7","2","2",1,77.006
"21342",NA,5,"12","7","2","3",1,60.57
"21343",NA,5,"12","7","2","4",1,342.34
"21344",NA,5,"12","7","2","5",1,171.013
"21345",NA,5,"12","8","2","4",1,637.358
"21346",NA,5,"12","8","2","6",1,75.816
"21347",NA,5,"12","9","2","4",1,564.016
"21348",NA,5,"12","9","2","4",2,422.05
"21349",NA,5,"12","9","2","5",1,95.318
"21350",NA,5,"12","9","2","5",2,372.811
"21351",NA,5,"12","9","2","6",1,381.126
"21352",NA,5,"12","9","2","6",2,30.926
"21353",NA,5,"12","9","2","7",1,100.032
"21354",NA,5,"13","1","1","3",2,456.14
"21355",NA,5,"13","1","1","4",1,180.772
"21356",NA,5,"13","2","1","2",1,1196.936
"21357",NA,5,"13","2","1","2",2,1860.06
"21358",NA,5,"13","2","1","3",1,12092.355
"21359",NA,5,"13","2","1","3",2,9749.885
"21360",NA,5,"13","2","1","4",1,17237.211
"21361",NA,5,"13","2","1","4",2,4053.558
